objid,ra,dec,u,g,r,i,z,specobjid,redshift,ptype,sclass
1.24E+18,195.1475925,27.94274429,18.98705,17.39641,16.70932,16.41291,16.20306,2.52E+18,0.02325009,GALAXY,GALAXY
1.24E+18,195.1165326,27.95596939,17.65509,15.8386,15.07857,14.70368,14.40009,2.52E+18,0.02336195,GALAXY,GALAXY
1.24E+18,195.0526094,27.78182054,17.86503,16.16991,15.489,15.13841,14.89592,2.52E+18,0.02337322,GALAXY,GALAXY
1.24E+18,194.7226636,28.12606753,17.77933,15.94528,15.15474,14.76233,14.48031,2.52E+18,0.02337744,GALAXY,GALAXY
1.24E+18,194.7841657,27.7841177,16.64039,14.73416,13.93037,13.49947,13.19974,2.52E+18,0.02344777,GALAXY,GALAXY
1.24E+18,194.7673068,27.95914058,18.54392,16.72718,15.94301,15.55823,15.25958,2.52E+18,0.02345661,GALAXY,GALAXY
1.24E+18,195.1257885,28.16004747,19.87155,18.03459,17.37386,17.01571,16.80554,2.52E+18,0.02358335,GALAXY,GALAXY
1.24E+18,194.7006414,28.01872704,19.29011,17.6292,16.93997,16.61089,16.35446,2.52E+18,0.02361731,GALAXY,GALAXY
1.24E+18,195.1701952,27.99660368,17.04858,15.22078,14.4312,14.03467,13.72199,2.52E+18,0.02363859,GALAXY,GALAXY
1.24E+18,194.8795953,27.95490705,21.92133,20.67551,20.06528,19.59901,19.41985,2.52E+18,0.0236594,GALAXY,GALAXY
1.24E+18,194.8341545,28.07428201,19.02452,16.80056,16.01684,15.72006,15.49812,2.52E+18,0.02388773,GALAXY,GALAXY
1.24E+18,194.8987713,27.95926328,14.66661,12.79836,11.9901,11.52812,11.23766,2.52E+18,0.02390867,GALAXY,GALAXY
1.24E+18,194.8921633,27.94683638,16.91885,15.09733,14.28028,13.86293,13.5701,2.52E+18,0.0239514,GALAXY,GALAXY
1.24E+18,194.7894262,28.04093209,18.85246,17.05388,16.28873,15.901,15.61143,2.52E+18,0.02404518,GALAXY,GALAXY
1.24E+18,194.8321478,27.9735003,19.02406,17.47196,16.77406,16.41721,16.25557,2.52E+18,0.02412798,GALAXY,GALAXY
1.24E+18,195.0332914,28.07856658,17.27399,15.3977,14.6027,14.16535,13.84476,2.52E+18,0.0241407,GALAXY,GALAXY
1.24E+18,194.9590909,27.9126353,19.71703,18.18306,17.48249,17.13521,16.91094,2.52E+18,0.02417115,GALAXY,GALAXY
1.24E+18,195.0266058,28.00411662,18.74981,16.63668,15.85161,15.45258,15.16259,2.52E+18,0.02424595,GALAXY,GALAXY
