objid,ra,dec,u,g,r,i,z,veldisp,PetroRad_r,specobjid,redshift,deVRad_r,fracDev_r,expRad_r,SNoise,ptype,sclass
1.24E+18,194.6622687,27.95386867,18.94499,17.28002,16.60296,16.25169,15.98018,14.16261,6.832524,2.52E+18,0.0199885,7.516132,0.4261034,3.750334,27.38286,GALAXY,GALAXY
1.24E+18,194.1537393,27.88488683,19.55179,18.01067,17.32007,16.98899,16.7176,14.61086,8.976295,2.52E+18,0.0210654,12.53396,0.2317716,4.907761,12.87588,GALAXY,GALAXY
1.24E+18,194.9428307,27.74624988,19.24563,17.85508,17.5057,17.36007,17.22861,14.66934,6.861042,2.52E+18,0.03240589,8.277819,0.3157704,3.716937,14.96771,GALAXY,GALAXY
1.24E+18,194.8754773,28.70012844,19.42789,17.91781,17.16039,16.81615,16.52843,15.15795,5.036897,2.26E+18,0.02368247,3.813694,0.4475406,2.020594,17.7083,GALAXY,GALAXY
1.24E+18,194.5855444,27.42938295,18.9162,17.51569,16.92482,16.62136,16.34416,15.20229,6.290564,2.52E+18,0.02515607,6.986651,0.3460805,3.128825,21.06211,GALAXY,GALAXY
1.24E+18,194.7358682,27.82198462,18.60806,17.28269,16.65305,16.33567,16.12188,15.28741,5.506527,2.52E+18,0.02904657,7.560971,0,3.100745,23.52205,GALAXY,GALAXY
1.24E+18,195.1246916,27.77025219,19.50364,17.963,17.27838,16.95526,16.73085,15.33653,5.931475,2.52E+18,0.02787676,6.096306,0.4514653,2.56673,12.12419,GALAXY,GALAXY
1.24E+18,194.1680856,28.21775768,18.78763,17.52945,17.06043,16.81587,16.65247,15.74463,5.995286,2.52E+18,0.0277229,7.939236,0.09360047,3.736502,15.85992,GALAXY,GALAXY
1.24E+18,194.4387602,27.90597721,19.25643,18.00584,17.58319,17.33132,17.18377,15.91101,6.521648,2.52E+18,0.02702302,7.319747,0.1663465,2.921357,12.62733,GALAXY,GALAXY
1.24E+18,194.471376,27.70730629,18.6972,17.07985,16.34026,15.97815,15.72174,16.61741,10.78723,2.52E+18,0.02151302,10.96656,0.6124764,4.637725,15.74496,GALAXY,GALAXY
1.24E+18,194.3029353,28.13365464,19.81488,18.32282,17.67496,17.40915,17.12919,17.62277,8.90296,2.52E+18,0.02324305,14.30266,0.08044718,4.784408,5.85697,GALAXY,GALAXY
1.24E+18,195.1284969,27.30017969,19.88354,18.42444,17.76721,17.47078,17.28835,18.48104,11.74887,2.52E+18,0.02564163,16.28162,0.1890664,5.016371,5.203822,GALAXY,GALAXY
1.24E+18,194.8321478,27.9735003,19.02406,17.47196,16.77406,16.41721,16.25557,18.50576,8.528809,2.52E+18,0.02412798,8.52919,0.6062064,3.523975,16.92532,GALAXY,GALAXY
1.24E+18,195.0062137,27.73126285,18.68675,17.17489,16.5204,16.19956,15.99172,18.61863,11.79248,2.52E+18,0.02691501,13.55523,0.3661807,5.16613,16.79508,GALAXY,GALAXY
1.24E+18,195.3243468,28.09707384,19.90666,18.18926,17.48994,17.12665,16.92632,18.75781,6.428755,2.52E+18,0.02682218,6.851412,0.398843,3.205695,14.4587,GALAXY,GALAXY
1.24E+18,195.4468314,27.62179197,18.95915,17.28118,16.54154,16.21778,15.99343,19.05418,9.965858,2.52E+18,0.02598125,10.11898,0.3886034,4.037148,13.76389,GALAXY,GALAXY
1.24E+18,194.7114892,27.99554658,19.52582,17.93322,17.20323,16.881,16.67477,19.50215,6.046327,2.52E+18,0.02235485,4.443264,0.6349483,2.213188,14.20572,GALAXY,GALAXY
1.24E+18,195.453551,28.17194833,18.25923,16.57141,15.87029,15.53859,15.29475,19.5808,10.39165,2.52E+18,0.02541527,12.32081,0.4736203,4.78154,22.21807,GALAXY,GALAXY
1.24E+18,194.6289877,28.23362218,18.15815,16.67622,15.98595,15.6296,15.38422,19.78504,10.71957,2.52E+18,0.02429386,10.50129,0.4415331,4.428777,21.21485,GALAXY,GALAXY
1.24E+18,194.260775,27.65668437,18.71654,17.16516,16.46551,16.15047,15.88831,20.08796,7.473501,2.52E+18,0.02266375,6.572195,0.5344916,3.034638,19.55997,GALAXY,GALAXY
1.24E+18,194.1185914,28.08253919,18.23234,16.59009,15.9239,15.57786,15.29602,20.16164,6.940358,2.52E+18,0.02326831,5.709216,0.6525581,3.009741,31.07059,GALAXY,GALAXY
1.24E+18,195.0426533,27.86394849,18.18785,16.52403,15.93723,15.6403,15.40643,20.48641,7.671421,2.52E+18,0.03311475,7.483222,0.3543515,3.614824,32.46589,GALAXY,GALAXY
1.24E+18,194.6063689,28.12892421,17.11033,16.09477,15.66263,15.40301,15.20162,20.57517,11.68576,2.52E+18,0.02736316,11.10497,0.3986593,4.515236,23.6479,GALAXY,GALAXY
1.24E+18,194.9656611,28.09852596,18.95726,17.13949,16.4085,16.02549,15.73754,20.75407,7.006902,2.52E+18,0.0255109,5.830349,0.5344312,2.898606,17.27145,GALAXY,GALAXY
1.24E+18,194.7269113,28.22296621,20.0447,18.33109,17.67385,17.32947,17.07931,20.75922,7.508302,2.52E+18,0.0236324,8.13048,0.2216183,3.055885,11.51019,GALAXY,GALAXY
1.24E+18,195.1402931,27.63774811,15.92783,15.11517,14.81257,14.64726,14.49516,21.01827,13.9575,2.52E+18,0.02496448,14.23999,0.4177769,6.284003,29.09951,GALAXY,GALAXY
1.24E+18,194.9625034,27.83295091,18.80699,17.1495,16.40223,16.04786,15.77363,21.33025,6.742218,2.52E+18,0.02634456,8.69407,0.3587909,3.982427,25.50739,GALAXY,GALAXY
1.24E+18,195.1161044,27.27178668,20.2196,18.50759,17.80012,17.46572,17.23975,21.82041,3.611929,2.52E+18,0.02587094,2.816061,0.2341711,1.743412,15.96127,GALAXY,GALAXY
